item_id,target,pred_baseline,pred_linreg,pred_tree,pred_forest
BOTÃO DE PRESSÃO|PRETO|S7670,1050.0,510.0,575.7480612046052,441.5,301.1798291925466
CADARÇO DE ALGODÃO TIPO I|BRANCO|MIL-T-5661,422.0,331.25,210.87290746851662,35.6,174.89311483090557
BORRACHA DE DOBRAGEM|AMARELA|S7100,432.0,287.25,150.98220470394048,85.25,199.3327760030667
BATOQUE||,42.0,271.75,350.13158571515476,441.5,282.09500511139896
ILHÓS Nº 5|PRATA|S7690SS,120.0,262.5,431.5836578257604,441.5,270.172225113619
ILHÓS Nº 8|PRATA|S7690SS,150.0,236.25,386.7154448040446,441.5,231.61772356055815
MUNHÃO|PRATA|S7670,600.0,175.0,280.24523572285244,441.5,181.668250563795
LOOPING DO RESERVA SEMI-AUTOMÁTICO|VERMELHO|,300.0,154.0,126.72920519821311,85.25,28.24264306663732
ARREBITE|PRETO|S7670,800.0,125.0,208.63330675562264,441.5,159.4413974952949
"CADARÇO TUBULAR DE NYLON 1/2""|BRANCO|MIL-W-5625",30.0,124.25,176.46570152646115,11.854166666666666,23.114392210739414
CABO DE NYLON TIPO II|BRANCO|,216.0,54.75,107.02580420610114,85.25,50.08527936718827
CABO DE NYLON TIPO II|VERDE|MIL-C-5040,217.0,54.25,107.30242726699251,85.25,50.08527936718827
ILHÓS Nº 0|PRATA|S7690SS,400.0,50.25,83.95222599210766,85.25,32.662815075374134
CABO DE NYLON TIPO III|BRANCO|MIL-C-5040,6.0,41.25,96.90589751992442,11.854166666666666,18.056158442034576
BORRACHA DE DOBRAGEM|VERDE|-,62.0,33.75,35.304996173190446,11.854166666666666,24.80777049788685
CADARÇO DE NYLON TIPO X|VERDE|MIL-W-4088,11.0,26.5,69.78346890890816,11.854166666666666,13.52819446157059
"ELASTICO 1""|VERDE|MIL-W-5664",24.0,26.25,65.79946878328727,11.854166666666666,13.52819446157059
CADARÇO DE NYLON TIPO III|VERDE|MIL-W-4088,10.0,23.0,64.42401307990187,11.854166666666666,13.52819446157059
"VELCRO FÊMEA 1""|PRETO|-",32.0,22.75,70.94634707516221,11.854166666666666,13.52819446157059
"VELCRO MACHO 1""|PRETO|-",32.0,22.5,70.4920299022214,11.854166666666666,13.52819446157059
"VELCRO MACHO 2""|VERDE|-",31.0,20.5,66.8574925186949,11.854166666666666,13.52819446157059
PUNHO DE COMANDO|PRATA|-,20.0,20.0,31.69912374518851,11.854166666666666,16.881218340118725
LINHA OVERLOCK|VERDE|-,50.0,18.75,32.60596267998553,11.854166666666666,24.80777049788685
"CADARÇO TUBULAR DE NYLON 1/2""|VERDE|MIL-W-5625",58.0,18.25,50.6135610202379,11.854166666666666,41.30425254847852
"VELCRO FÊMEA 2""|VERDE|-",31.0,17.25,60.951369270464326,11.854166666666666,13.52819446157059
"CADARÇO TUBULAR DE NYLON 1""|BRANCO|MIL-W-5625",30.0,17.0,32.81274675900096,11.854166666666666,24.80777049788685
"VELCRO MACHO 1""|VERDE|-",32.0,16.25,59.134100578701066,11.854166666666666,13.52819446157059
LINHA OVERLOCK|BRANCO|-,50.0,15.0,31.978926944148128,11.854166666666666,26.399437164553515
LACRE DO RESERVA|AMARELO|,1010.0,14.5,39.75129086634419,11.854166666666666,32.958866075048576
CADARÇO DE NYLON TIPO XXVI|BRANCO|MIL-W-4088,2.0,14.0,46.51831532611693,11.854166666666666,14.00567413636734
"VELCRO FÊMEA 2""|PRETO|-",30.0,13.0,53.2279773304705,11.854166666666666,14.00567413636734
GIZ DE ALFAIATE ÁGUIA|ROSA|,12.0,12.5,47.50646657935565,11.854166666666666,33.125919215145196
GIZ DE ALFAIATE ÁGUIA|AMARELO|,10.0,12.5,47.50646657935565,11.854166666666666,33.125919215145196
LINHA Nº 40|VERDE|-,51.0,12.5,47.50646657935565,11.854166666666666,33.125919215145196
CABO DE NYLON TIPO VI|VERDE|MIL-C-7515,7.0,11.75,38.514725740970306,11.854166666666666,12.79206476853802
"VELCRO MACHO 2""|PRETO|-",31.0,11.0,49.59343994694399,11.854166666666666,14.00567413636734
GIZ DE ALFAIATE ÁGUIA|AZUL|,13.0,10.25,44.283929775830316,11.854166666666666,33.125919215145196
"CADARÇO TUBULAR DE NYLON 5/8""|BRANCO|MIL-W-5625",1.0,9.75,32.18454544291544,11.854166666666666,16.158859405949446
"CADARÇO DE NYLON TIPO XVI DE 2""|VERDE|MIL-W-4088",0.0,8.5,41.77751226197727,11.854166666666666,33.125919215145196
FITA DE NYLON Nº 3|VERDE|MIL-T-5038,4.0,8.0,37.552320521727964,11.854166666666666,15.420248450941655
CABO DE NYLON TIPO V|VERDE|MIL-C-7515,6.0,7.25,37.836301313620325,11.854166666666666,19.3422323929256
